2012PN200075,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2012-06-21 10:05,WATER,VERTICAL INTEGRATED,3.11,,10.5,,0.09,,0.44,,55.6,,0.006,,0.001,,11.3,,0.01,,0.046,,0.004,,0.05,,0.046,,1.48,,0.01,,24,,0.022,,0.024,,4.1,,0.6,,0.838,,1.35,,0.003,L,0.001,,0.592,,0.24,,0.001,,188,,0.006,,0.016,,,,0.005,,0.438,,0.335,,0.081,,0.4,,1770,,0.137,,2.1,,124,,0.178,,0.037,,11.4,,0.108,,7.48,,0.412,,2.85,,2.4,,6.31,,0.689,,4610,,3.29,,3.54,,6.58,,183,,0.616,,7.04,,0.036,L,0.001,,4.68,,0.28,,0.033,,221,,0.062,,0.03,,,,0.015,,0.685,,5.35,,3.53,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200076,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2012-06-21 11:08,WATER,TRIPLICATE SAMPLE,3.17,,11.7,,0.092,,0.49,,56.3,,0.006,L,0.001,,10.9,,0.036,,0.043,,0.004,,0.06,,0.046,,1.83,,0.011,,24.6,,0.024,,0.026,,3.95,,0.61,,0.835,,1.43,,0.002,L,0.001,,0.571,,0.24,,0.001,,197,,0.006,,0.019,,,,0.003,,0.431,,0.331,,0.082,,0.4,,1650,,0.134,,2.02,,119,,0.173,,0.035,,10,,0.097,,6.65,,0.397,,2.68,,2.17,,6.11,,0.64,,4280,,2.91,,3.3,,6.48,,167,,0.611,,6.66,,0.035,L,0.001,,4.48,,0.27,,0.032,,217,,0.06,,0.045,,,,0.015,,0.656,,5.06,,3.2,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200077,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2012-06-21 12:36,WATER,VERTICAL INTEGRATED,3.19,,10,,0.054,,0.44,,35.9,,0.007,L,0.001,,24.7,,0.012,,0.067,,0.003,,0.08,,0.063,,1,,0.007,,68.3,,0.034,,0.036,,5.98,,1.91,,0.502,,0.97,,0.002,L,0.001,,0.7,,0.13,,0.001,,136,,0.007,,0.021,,,,0.005,,0.229,,0.276,,0.088,,0.3,,927,,0.078,,1.36,,64.2,,0.092,,0.021,,26.7,,0.049,,4.05,,0.261,,1.53,,1.21,,3.35,,0.369,,2660,,1.77,,1.74,,7.14,,108,,0.378,,3.72,,0.039,L,0.001,,3.13,,0.16,,0.018,,150,,0.035,,0.034,,,,0.01,,0.35,,3,,1.79,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200078,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2012-06-21 9:36,WATER,VERTICAL INTEGRATED,0.6,,24.8,,0.102,,0.49,,56.4,,0.006,,0.001,,12.7,,0.013,,0.08,,0.007,,0.08,,0.069,,1.49,,0.014,,44.7,,0.04,,0.053,,4.13,,1.54,,0.849,,1.42,,0.003,L,0.001,,0.669,,0.25,,0.001,,199,,0.008,,0.019,,,,0.003,,0.444,,0.339,,0.098,,0.4,,2120,,0.143,,2.35,,129,,0.195,,0.038,,15.4,,0.109,,8.01,,0.458,,3.37,,2.65,,6.89,,0.787,,5440,,3.5,,3.81,,7.35,,203,,0.563,,7.93,,0.04,L,0.001,,5.14,,0.3,,0.038,,235,,0.069,,0.026,,,,0.012,,0.708,,6.24,,3.73,,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200079,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2012-06-21 9:56,WATER,VERTICAL INTEGRATED,2.79,,11.2,,0.102,,0.47,,55.9,,0.005,,0.001,,13.1,,0.034,,0.053,,0.004,,0.05,,0.05,,1.64,,0.01,,30.4,,0.03,,0.036,,4.09,,0.7,,0.849,,1.38,,0.002,L,0.001,,0.626,,0.24,,0.001,,194,,0.007,,0.009,,,,0.004,,0.439,,0.324,,0.088,,0.6,,2140,,0.137,,2.2,,127,,0.189,,0.039,,14.3,,0.107,,7.6,,0.471,,3.31,,2.51,,6.71,,0.785,,5190,,3.32,,3.67,,7.31,,188,,0.587,,7.62,,0.038,L,0.001,,5.18,,0.29,,0.038,,228,,0.067,,0.018,,,,0.009,,0.691,,6.11,,3.56,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200080,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2012-06-21 10:28,WATER,VERTICAL INTEGRATED,2.8,,9.6,,0.097,,0.45,,56.3,,0.005,,0.001,,10.5,,0.058,,0.046,,0.004,,0.05,,0.046,,1.46,,0.01,,22.4,,0.024,,0.031,,4.09,,0.75,,0.841,,1.33,,0.002,L,0.001,,0.587,,0.23,,0.001,,190,,0.006,,0.014,,,,0.004,,0.443,,0.321,,0.083,,0.9,,1820,,0.138,,2.16,,128,,0.178,,0.038,,10.2,,0.11,,7.51,,0.427,,2.9,,2.37,,6.5,,0.708,,4530,,3.27,,3.63,,6.72,,185,,0.619,,7.05,,0.037,L,0.001,,4.82,,0.27,,0.033,,227,,0.063,,0.023,,,,0.012,,0.697,,5.46,,3.59,,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200081,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2012-06-21 10:39,WATER,VERTICAL INTEGRATED,2.7,,10.1,,0.089,,0.47,,53.8,,0.007,,0.001,,9.2,,0.016,,0.036,,0.003,,0.05,,0.044,,1.76,,0.009,,21.7,,0.019,,0.023,,3.76,,0.58,,0.787,,1.29,,0.002,L,0.001,,0.539,,0.24,,0.001,,199,,0.006,,0.03,,,,0.004,,0.415,,0.319,,0.074,,0.5,,1710,,0.124,,2.03,,122,,0.174,,0.035,,11.4,,0.109,,7.28,,0.407,,2.74,,2.29,,5.93,,0.673,,4790,,3.19,,3.51,,6.51,,176,,0.59,,6.77,,0.036,L,0.001,,4.61,,0.29,,0.035,,217,,0.063,,0.031,,,,0.009,,0.671,,5.28,,3.47,,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200082,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 7 OF 10,AL07DD0008,56.83919,-111.41404,2012-06-21 11:50,WATER,VERTICAL INTEGRATED,3.5,,10.2,,0.09,,0.48,,56.4,,0.007,,0.001,,9.7,,0.009,,0.042,,0.004,,0.05,,0.045,,1.53,,0.01,,24.3,,0.022,,0.023,,3.92,,0.67,,0.824,,1.35,,0.001,L,0.001,,0.569,,0.24,,0.001,,201,,0.006,,0.025,,,,0.002,,0.424,,0.314,,0.08,,0.3,,1630,,0.129,,1.92,,117,,0.157,,0.033,,11.4,,0.098,,6.6,,0.369,,2.58,,2.14,,5.66,,0.615,,4160,,2.89,,3.22,,6.24,,167,,0.577,,6.39,,0.032,L,0.001,,4.23,,0.27,,0.03,,218,,0.057,,0.042,,,,0.01,,0.637,,4.93,,3.18,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200083,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 8 OF 10,AL07DD0008,56.83888,-111.41328,2012-06-21 12:01,WATER,VERTICAL INTEGRATED,3.28,,10.8,,0.086,,0.46,,52.7,,0.005,,0.001,,11.2,,0.035,,0.044,,0.003,,0.06,,0.048,,1.56,,0.01,,27.5,,0.023,,0.029,,4.09,,0.7,,0.769,,1.31,,0.001,L,0.001,,0.554,,0.24,,0.001,,185,,0.007,,0.013,,,,0.003,,0.398,,0.316,,0.082,,0.5,,1580,,0.117,,1.85,,111,,0.147,,0.036,,14.1,,0.087,,6.21,,0.38,,2.51,,2.01,,5.51,,0.599,,4090,,2.72,,3.02,,6.45,,156,,0.6,,6.08,,0.033,L,0.001,,4.26,,0.27,,0.028,,214,,0.058,,0.024,,,,0.012,,0.608,,4.79,,2.96,,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200084,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2012-06-21 12:13,WATER,VERTICAL INTEGRATED,402,,8.2,,0.067,,0.46,,42.1,,0.008,,0.001,,21.9,,0.031,,0.057,,0.002,,0.07,,0.056,,1.36,,0.007,,56.5,,0.029,,0.089,,5.21,,1.24,,0.625,,1.16,,0.002,L,0.001,,0.538,,0.19,,0.001,,163,,0.006,,0.006,,,,0.005,,0.303,,0.287,,0.084,,0.6,,1230,,0.095,,1.53,,82.3,,0.122,,0.027,,20.8,,0.078,,4.96,,0.323,,1.99,,1.55,,4.21,,0.48,,3300,,2.19,,2.29,,6.9,,128,,0.463,,4.76,,0.033,L,0.001,,3.66,,0.2,,0.025,,172,,0.043,,0.014,,,,0.009,,0.45,,3.86,,2.28,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200085,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2012-06-21 12:15,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,10.5,,0.086,,0.47,,50.3,,0.005,,0.001,,13.9,,0.033,,0.045,,0.003,,0.06,,0.046,,1.48,,0.009,,35.8,,0.024,,0.085,,4.32,,0.57,,0.751,,1.29,,0.002,L,0.001,,0.519,,0.21,,0.001,,186,,0.005,,0.008,,,,0.005,,0.384,,0.321,,0.082,,0.8,,1780,,0.119,,1.99,,113,,0.161,,0.035,,15,,0.097,,6.64,,0.422,,2.83,,2.14,,5.66,,0.674,,4430,,2.94,,3.16,,7,,165,,0.548,,6.57,,0.039,,0.001,,4.66,,0.25,,0.032,,206,,0.059,,0.017,,,,0.012,,0.603,,5.2,,3.12,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200086,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2012-06-21 11:13,WATER,TRIPLICATE SAMPLE,,,33.6,,0.09,,0.48,,54.3,,0.008,,0.001,,9.8,,0.043,,0.101,,0.01,,0.09,,0.065,,1.57,,0.016,,68.4,,0.048,,0.06,,3.8,,2.05,,0.814,,1.33,,0.003,L,0.001,,0.568,,0.24,,0.002,,197,,0.006,,0.015,,,,0.003,,0.42,,0.38,,0.107,,0.5,,2100,,0.134,,2.18,,124,,0.179,,0.038,,11,,0.103,,7.32,,0.465,,3.31,,2.44,,6.8,,0.769,,4920,,3.2,,3.51,,6.96,,179,,0.561,,7.44,,0.041,,0.001,,5.11,,0.29,,0.04,,226,,0.066,,0.02,,,,0.012,,0.667,,6.04,,3.42,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200087,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2012-06-21 11:18,WATER,TRIPLICATE SAMPLE,,,16.3,,0.091,,0.47,,55.8,,0.007,,0.001,,11.2,,0.027,,0.057,,0.004,,0.06,,0.05,,1.5,,0.012,,36.8,,0.032,,0.043,,3.84,,0.78,,0.797,,1.32,,0.002,L,0.001,,0.566,,0.25,,0.001,,196,,0.006,,0.005,,,,0.002,,0.423,,0.332,,0.087,,0.3,,1790,,0.138,,2.05,,126,,0.178,,0.038,,11.6,,0.104,,7.06,,0.418,,2.84,,2.33,,6.19,,0.687,,4580,,3.11,,3.45,,6.6,,177,,0.619,,7.14,,0.04,,0.001,,4.74,,0.27,,0.033,,226,,0.064,,0.018,,,,0.01,,0.671,,5.39,,3.45,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200093,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-07-10 12:42,WATER,TRIPLICATE SAMPLE,3.1,,16.7,,0.074,,0.42,,45,,0.009,,0.001,,13.2,,0.008,,0.094,,0.006,,0.06,,0.039,,1.4,,0.01,,54.1,,0.05,,0.041,,3.85,,0.72,,0.717,,1.24,,0.003,L,0.001,,0.586,,0.16,,0.002,,185,,0.005,,0.018,,,,0.003,,0.391,,0.272,,0.126,,0.4,,1160,,0.107,,1.77,,90.8,,0.13,,0.035,,13.6,,0.072,,5.94,,0.381,,1.89,,1.72,,4.66,,0.469,,3400,,2.58,,2.7,,5.85,,133,,0.607,,5.08,,0.033,L,0.001,,4.16,,0.17,,0.022,,216,,0.051,,0.054,,,,0.004,,0.591,,3.6,,2.7,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200094,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2012-07-10 14:05,WATER,VERTICAL INTEGRATED,5.4,,13.7,,0.076,,0.43,,44.4,,0.011,,0.001,,15.4,,0.008,,0.096,,0.004,,0.07,,0.036,,1.56,,0.01,,57.6,,0.053,,0.049,,4.53,,0.79,,0.8,,1.27,,0.002,L,0.001,,0.644,,0.12,,0.002,,182,,0.005,,0.008,,,,0.004,,0.391,,0.256,,0.145,,0.4,,1080,,0.105,,1.78,,93,,0.132,,0.028,,14.9,,0.084,,6.34,,0.34,,1.72,,1.67,,5.02,,0.462,,3390,,2.73,,2.91,,6.22,,147,,0.519,,5.04,,0.026,L,0.001,,3.88,,0.17,,0.021,,209,,0.051,,0.019,,,,0.006,,0.607,,3.33,,2.85,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200095,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2012-07-10 14:25,WATER,VERTICAL INTEGRATED,5.7,,14.8,,0.068,,0.48,,38.9,,0.011,,0.001,,19.2,,0.008,,0.13,,0.011,,0.33,,0.04,,1.98,,0.009,,94.2,,0.077,,0.063,,4.99,,1.08,,0.621,,1.33,,0.002,L,0.001,,0.686,,0.14,,0.002,,160,,0.006,RANGEH,0.337,,,,0.004,,0.316,,0.279,,0.183,,0.7,,869,,0.093,,1.53,,76.1,,0.109,,0.027,,21.6,,0.061,,5.15,,0.296,,2.19,,1.35,,4.75,,0.375,,2860,,2.25,,2.32,,6.42,,127,,0.502,,4.22,,0.028,L,0.001,,3.46,,0.15,,0.018,,181,,0.042,RANGEH,0.412,,,,0.006,,0.48,,2.76,,2.25,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200096,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2012-07-10 14:30,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,13.3,,0.071,,0.43,,45.1,,0.01,,0.001,,14.5,,0.008,,0.099,,0.005,,0.06,,0.035,,1.37,,0.009,,59.3,,0.053,,0.051,,4.35,,0.84,,0.622,,1.25,,0.002,,0.001,,0.671,,0.15,,0.001,,182,,0.006,,0.012,,,,0.004,,0.393,,0.254,,0.138,,0.5,,1050,,0.104,,1.76,,90.4,,0.129,,0.027,,14.4,,0.075,,6.3,,0.315,,1.67,,1.69,,4.77,,0.442,,3480,,2.71,,2.82,,6.06,,144,,0.509,,4.97,,0.023,L,0.001,,3.66,,0.2,,0.02,,209,,0.048,,0.009,,,,0.004,,0.598,,3.27,,2.83,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200097,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-07-11 10:45,WATER,VERTICAL INTEGRATED,4.3,,15.3,,0.078,,0.48,,44.2,,0.01,,0.001,,15.5,,0.012,,0.108,,0.007,,0.07,,0.039,,1.77,,0.01,,66.4,,0.063,,0.047,,4.37,,0.8,,0.659,,1.47,,0.003,L,0.001,,0.643,,0.17,,0.002,,175,,0.006,,0.008,,,,0.004,,0.356,,0.267,,0.175,,0.4,,976,,0.11,,1.65,,82.5,,0.119,,0.026,,14.3,,0.074,,4.87,,0.281,,1.55,,1.43,,4.53,,0.383,,2790,,2.14,,2.3,,5.89,,122,,0.547,,4.7,,0.027,,0.001,,3.31,,0.17,,0.02,,203,,0.041,,0.018,,,,0.003,,0.512,,3.04,,2.25,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200098,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2012-07-11 12:12,WATER,VERTICAL INTEGRATED,2.5,,19.1,,0.066,,0.51,,39,,0.012,,0.001,,20.1,,0.008,,0.131,,0.004,,0.08,,0.051,,1.66,,0.01,,98,,0.07,,0.05,,4.75,,1,,0.59,,1.48,,0.003,L,0.001,,0.655,,0.14,,0.002,,152,,0.007,L,0.005,,,,0.003,,0.298,,0.286,,0.187,,0.4,,932,,0.102,,1.69,,80,,0.115,,0.025,,19.2,,0.064,,5.18,,0.285,,1.49,,1.39,,4.19,,0.385,,2870,,2.26,,2.26,,6.41,,131,,0.519,,4.48,,0.031,L,0.001,,3.37,,0.16,,0.021,,177,,0.04,,0.012,,,,0.003,,0.463,,2.97,,2.37,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200099,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-07-11 12:36,WATER,VERTICAL INTEGRATED,5.1,,18.5,,0.06,,0.48,,38.3,,0.012,,0.001,,19.9,,0.019,,0.132,,0.012,,0.08,,0.05,,1.63,,0.01,,123,,0.074,,0.064,,5.14,,1.3,RANGEH,7.57,,1.35,,0.005,L,0.001,,0.677,,0.13,,0.002,,140,,0.007,L,0.005,,,,0.004,,0.269,,0.31,,0.19,,0.4,,763,,0.091,,1.49,,70.3,,0.097,,0.021,,24.2,,0.053,,4.16,,0.233,,1.25,,1.2,,3.64,,0.313,,2450,,1.82,,1.84,,6.46,,116,,0.463,,3.91,,0.025,,0.001,,2.86,,0.15,,0.016,,168,,0.033,,0.009,,,,0.003,,0.405,,2.62,,1.89,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200100,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-07-11 12:40,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,15.1,,0.076,,0.45,,40.5,,0.01,,0.001,,16.2,,0.008,,0.099,,0.003,,0.07,,0.043,,1.67,,0.009,,69.5,,0.054,,0.048,,4.19,,0.8,,0.618,,1.42,,0.003,L,0.001,,0.591,,0.16,,0.002,,160,,0.006,,0.023,,,,0.003,,0.324,,0.256,,0.158,,0.5,,1170,,0.114,,1.81,,92,,0.147,,0.028,,15,,0.08,,6.29,,0.354,,1.93,,1.77,,4.86,,0.506,,3490,,2.8,,2.83,,6.58,,145,,1.07,,5.27,,0.031,L,0.001,,3.97,,0.17,,0.026,,186,,0.051,,0.036,,,,0.004,,0.552,,3.7,,2.88,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200111,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-07-24 12:17,WATER,VERTICAL INTEGRATED,2.82,,15.6,,0.088,,0.45,,51.1,,0.03,,0.001,,11.7,,0.007,,0.077,,0.006,,0.09,,0.041,,2.59,,0.011,,51.1,,0.043,,0.044,,4.02,,0.9,,0.663,,1.17,L,0.001,L,0.001,,0.617,,0.16,,0.001,,193,,0.006,L,0.005,,,,0.003,,0.388,,0.305,,0.108,,0.5,,1790,,0.111,,1.72,,101,,0.143,,0.035,,13.7,,0.075,,5.52,,0.435,,2.61,,1.66,,4.81,,0.635,,3880,,2.51,,2.56,,7.44,,127,,0.62,,5.6,,0.062,L,0.001,,4.92,,0.2,,0.026,,222,,0.061,,0.011,,,,0.006,,0.582,,4.51,,2.5,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200112,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2012-07-24 13:29,WATER,VERTICAL INTEGRATED,7.26,,19.8,,0.075,,0.47,,45.4,,0.008,,0.001,,13.8,,0.008,,0.098,,0.005,,0.07,,0.039,,1.36,,0.012,,86.2,,0.054,,0.058,,4.01,,1.22,,0.603,,1.11,,0.002,L,0.001,,0.641,,0.13,,0.002,,167,,0.007,L,0.005,,,,0.005,,0.324,,0.315,,0.122,,0.7,,1600,,0.111,,1.58,,92.5,,0.124,,0.03,,16.9,,0.062,,4.89,,0.401,,2.34,,1.48,,4.16,,0.545,,3500,,2.21,,2.25,,6.95,,116,,0.565,,4.98,,0.048,L,0.001,,4.5,,0.19,,0.024,,201,,0.053,,0.008,,,,0.004,,0.495,,4.03,,2.21,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200113,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2012-07-24 13:50,WATER,VERTICAL INTEGRATED,5.03,,22.8,,0.072,,0.53,,45.5,,0.012,L,0.001,,15.2,,0.006,,0.099,,0.004,,0.08,,0.041,,1.51,,0.013,,110,,0.058,,0.062,,4.26,,1.19,,0.591,,1.11,,0.002,L,0.001,,0.669,,0.12,,0.003,,171,,0.007,L,0.005,,,,0.003,,0.312,,0.338,,0.127,,0.8,,1440,,0.096,,1.5,,83.6,,0.114,,0.027,,17.2,,0.061,,4.4,,0.359,,2.1,,1.34,,3.87,,0.5,,3190,,2.02,,2.08,,6.93,,105,,0.578,,4.51,,0.042,L,0.001,,4.1,,0.18,,0.024,,189,,0.045,,0.011,,,,0.004,,0.458,,3.68,,1.98,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200114,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2012-07-24 14:00,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,16.4,,0.081,,0.43,,49.9,,0.03,,0.001,,13.1,,0.006,,0.09,,0.006,,0.11,,0.041,,2.74,,0.011,,71.4,,0.049,,0.061,,4.13,,0.89,,0.634,,1.15,L,0.001,L,0.001,,0.699,,0.13,,0.001,,182,,0.007,,0.007,,,,0.004,,0.364,,0.335,,0.119,,3.2,,1650,,0.111,,1.6,,90,,0.125,,0.029,,15.3,,0.07,,4.63,,0.385,,2.38,,1.46,,4.35,,0.555,,3330,,2.08,,2.2,,6.97,,111,,0.59,,5.02,,0.046,,0.001,,4.36,,0.17,,0.023,,209,,0.051,,0.013,,,,0.005,,0.519,,4.12,,2.06,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200115,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-07-25 10:25,WATER,VERTICAL INTEGRATED,4.29,,17.6,,0.076,,0.46,,46,,0.011,,0.001,,13,,0.008,,0.085,,0.005,,0.06,,0.037,,1.34,,0.011,,67.7,,0.086,,0.052,,3.92,,1.01,,0.606,,1.1,,0.003,,0.001,,0.622,,0.15,,0.002,,171,,0.006,,0.009,,,,0.002,,0.315,,0.267,,0.118,,0.7,,801,,0.095,,1.24,,75.5,,0.093,,0.016,,14.2,,0.053,,3.39,,0.183,,1.26,,1.08,,3.12,,0.3,,2060,,1.52,,1.65,,5.27,,85.8,,0.457,,3.48,,0.032,L,0.001,,2.46,,0.14,,0.017,,188,,0.033,,0.014,,,,0.004,,0.424,,2.44,,1.64,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200116,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2012-07-25 11:09,WATER,VERTICAL INTEGRATED,2.43,,26.4,,0.068,,0.49,,43.4,,0.01,,0.001,,17.4,,0.006,,0.099,,0.005,,0.08,,0.045,,1.3,,0.013,,108,,0.061,,0.064,,4.33,,1.14,,0.555,,1.11,,0.005,L,0.001,,0.639,,0.13,,0.001,,164,,0.006,L,0.005,,,,0.004,,0.286,,0.338,,0.127,,0.4,,739,,0.078,,1.2,,65.6,,0.08,,0.013,,17.5,,0.042,,2.91,,0.172,,1.19,,0.981,,2.95,,0.273,,2010,,1.31,,1.41,,5.31,,80.6,,0.559,,3.24,,0.024,L,0.001,,2.27,,0.14,,0.014,,175,,0.029,L,0.005,,,,0.004,,0.373,,2.23,,1.4,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
