"*Co-investigator /
Chercheur associé 
",,,,,,,,,,,,,,,,,,,
"*Co-investigator
Affiliation / 
Affiliation du chercheur associé
",,,,,,,,,,,,,,,,,,,
*Principal Investigator Contact Information / Coor-données de chercheur Principal,,,,,,,,,,,,,,,,,,,
Data Steward(s) / Intendant(s) des données,Minzhen Su,Minzhen Su,,,,,,,,,,,,,,,,,
Open Government Licence-Canada / Licence du gouver-nement ouvert – Canada ,http://open.canada.ca/en/open-government-licence-canada,http://ouvert.canada.ca/fr/licence-du-gouvernement-ouvert-canada,,,,,,,,,,,,,,,,,
"Attribution / 
Attribution
","Environment and Climate Change Canada, [Year Accessed].  Data File Name [Name of data file]. Downloaded on [Year-Month-Day] from [Name and URL of the data portal].","Environnement et Changement climatique Canada, [année de la consultation]. Nom du fichier de données [Nom du fichier de données], générée [année-mois-jour]. Téléchargé le [année-mois-jour] depuis [Nom et URL du portail de données].",,,,,,,,,,,,,,,,,
Acknowledgement statement / Énoncé de reconnaissance ,"The author(s) acknowledge Environment and Climate Change Canada and [if applicable, enter the names of any co-contributors, co-funding agencies, and/or collaborators] for the provision of [type of] data accessed from [Name and URL of the data portal].  [If applicable:  The original data/data files were modified and redistributed and/or used to produce derivative work as follows: …enter details…].    ","Le ou les auteur(s) reconnaissent Environnement et Changement climatique Canada et [s’il y a lieu, entrez les noms des contributeurs, des organismes de cofinancement ou des collaborateurs] pour la prestation du [type de] données consultées depuis [Nom et URL du portail de données]. [S’il y a lieu : les données/fichiers de données d’origine ont été modifiés, redistribués et/ou utilisés pour des travaux dérivés, à savoir : …précisez…].    ",,,,,,,,,,,,,,,,,
"Quality Assurance Level and Disclaimer / 
Niveau d’assurance de la qualité et avis de non-responsa-bilité
","Level 1, defined as a complete data set of specified quality that consists of research products subjected to quality assurance and quality control checks and data management procedures.","Définition du niveau 1 : ensemble de données complet d’une qualité précisée, qui regroupe des produits de recherche soumis à des vérifications d’assurance et de contrôle de la qualité et à des procédures de gestion des données.",,,,,,,,,,,,,,,,,
Flag column pertain to the numerical value in the data column immediately to the right / Colonne du drapeau se rapportent à la valeur numérique dans les données de la colonne immédiatement à la droite,,,,,,,,,,,,,,,,,,,
Field Sample Number / Numéro de l'échantillon sur le terrain,Project Name / Nom du projet,Station or Location Name / Nom du la station et lieu ,Station Number / Numéro de la station,Latitude (Decimal Degrees) / Latitude (degrés décimaux),Longitude (Decimal Degrees) / Longitude (degrés décimaux),Sample Date (yyyy-mm-dd hh:mm:ss ) / Date de l'échantillon(aaaa-mm-jj hh:mm:ss),Matrix /  Matrice,Sample Type / Type d'échantillon,Water Depth (m) / La profondeur de l’eau (m),Flag/Marqueur,MERCURY TOTAL (074475-L) ( NG/L) / Mercure total (074475-L) ( NG/L),Flag/Marqueur,METHYL MERCURY (111116-L) (NG/L) / Méthylmercure (111116-L) (NG/L),Flag/Marqueur,MERCURY TOTAL (109748-P) ( NG/L) / Mercure total (109748-P) ( NG/L),Flag/Marqueur,METHYL MERCURY (109750-P) (NG/L) / Méthylmercure (109750-P) (NG/L),Flag/Marqueur,METHYL MERCURY (005893-L) (NG/L) / Méthylmercure (005893-L) (NG/L)
2011PN200001,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2011-10-27 11:56,WATER,VERTICAL INTEGRATED,0.27,,,,,,,,,,
2011PN200002,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.6036111,2011-10-27 12:10,WATER,VERTICAL INTEGRATED,1.01,,,,,,,,,,
2011PN200003,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2011-10-27 12:48,WATER,VERTICAL INTEGRATED,1.58,,,,,,,,,,
2011PN200004,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2011-10-27 13:02,WATER,VERTICAL INTEGRATED,2.1,,,,,,,,,,
2011PN200005,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2011-10-27 13:25,WATER,VERTICAL INTEGRATED,2.44,,,,,,,,,,
2011PN200006,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 6 OF 10,AL07DD0004,57.12708333,-111.6020556,2011-10-27 14:17,WATER,VERTICAL INTEGRATED,2.5,,,,,,,,,,
2011PN200007,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2011-10-27 14:42,WATER,TRIPLICATE SAMPLE,2.65,,,,,,,,,,
2011PN200008,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 8 OF 10,AL07DD0004,57.12733333,-111.6010556,2011-10-27 15:19,WATER,VERTICAL INTEGRATED,2.77,,,,,,,,,,
2011PN200009,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2011-10-27 15:34,WATER,VERTICAL INTEGRATED,3.05,,,,,,,,,,
2011PN200010,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2011-10-27 16:14,WATER,VERTICAL INTEGRATED,2.16,,,,,,,,,,
2011PN200011,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2011-10-27 14:52,WATER,TRIPLICATE SAMPLE,,,,,,,,,,,
2011PN200012,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2011-10-27 15:02,WATER,TRIPLICATE SAMPLE,,,,,,,,,,,
2011PN200013,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2011-10-27 17:00,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2011PN200015,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 1 OF 10,AL07DD0005,57.15605556,-111.63,2011-10-29 10:14,WATER,VERTICAL INTEGRATED,0.7,,,,,,,,,,
2011PN200016,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 2 OF 10,AL07DD0005,57.15633333,-111.6294167,2011-10-29 11:32,WATER,VERTICAL INTEGRATED,1.25,,,,,,,,,,
2011PN200017,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 3 OF 10,AL07DD0005,57.15655556,-111.6286944,2011-10-29 11:45,WATER,VERTICAL INTEGRATED,1.28,,,,,,,,,,
2011PN200018,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 4 OF 10,AL07DD0005,57.15669444,-111.62825,2011-10-29 12:04,WATER,VERTICAL INTEGRATED,1.31,,,,,,,,,,
2011PN200019,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2011-10-29 12:24,WATER,VERTICAL INTEGRATED,1.71,,,,,,,,,,
2011PN200020,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 6 OF 10,AL07DD0005,57.15683333,-111.6265278,2011-10-29 13:36,WATER,VERTICAL INTEGRATED,1.92,,,,,,,,,,
2011PN200021,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 7 OF 10,AL07DD0005,57.15686111,-111.6257222,2011-10-29 14:07,WATER,TRIPLICATE SAMPLE,2.07,,,,,,,,,,
2011PN200022,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 8 OF 10,AL07DD0005,57.15705556,-111.6250278,2011-10-29 14:19,WATER,VERTICAL INTEGRATED,2.04,,,,,,,,,,
2011PN200023,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2011-10-29 14:37,WATER,VERTICAL INTEGRATED,2.23,,,,,,,,,,
2011PN200024,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2011-10-29 15:12,WATER,VERTICAL INTEGRATED,3.51,,,,,,,,,,
2011PN200025,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 7 OF 10,AL07DD0005,57.15686111,-111.6257222,2011-10-29 14:12,WATER,TRIPLICATE SAMPLE,,,,,,,,,,,
2011PN200026,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 7 OF 10,AL07DD0005,57.15686111,-111.6257222,2011-10-29 14:17,WATER,TRIPLICATE SAMPLE,,,,,,,,,,,
2011PN200027,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2011-10-29 16:28,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2011PN200031,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-02-14 15:04,WATER,VERTICAL INTEGRATED,1.735,,0.55,L,0.03,,,,,,
2011PN200032,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2012-02-14 16:44,WATER,VERTICAL INTEGRATED,2.19,,0.59,L,0.03,,,,,,
2011PN200033,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2012-02-14 17:29,WATER,VERTICAL INTEGRATED,1.9,,0.6,L,0.03,,,,,,
2011PN200034,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2012-02-14 17:35,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2011PN200035,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-02-15 19:50,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2011PN200036,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-02-15 14:26,WATER,TRIPLICATE SAMPLE,,,,,,,,,,,
2011PN200037,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-02-15 14:36,WATER,TRIPLICATE SAMPLE,,,,,,,,,,,
2011PN200040,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-02-15 14:16,WATER,TRIPLICATE SAMPLE,1.23,,0.55,L,0.03,,,,,,
2011PN200041,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2012-02-15 16:07,WATER,VERTICAL INTEGRATED,0.53,,0.55,L,0.03,,,,,,
2011PN200042,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-02-15 17:00,WATER,VERTICAL INTEGRATED,4.325,,0.55,,0.04,,,,,,
2011PN200046,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2012-03-20 10:14,WATER,VERTICAL INTEGRATED,0.275,,,,,,,,,,
2011PN200047,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.6036111,2012-03-20 10:33,WATER,VERTICAL INTEGRATED,0.905,,,,,,,,,,
2011PN200048,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2012-03-20 10:49,WATER,VERTICAL INTEGRATED,1.185,,,,,,,,,,
2011PN200049,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2012-03-20 11:10,WATER,VERTICAL INTEGRATED,1.285,,,,,,,,,,
2011PN200050,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 6 OF 10,AL07DD0004,57.12708333,-111.6020556,2012-03-20 12:51,WATER,VERTICAL INTEGRATED,1.975,,,,,,,,,,
2011PN200051,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2012-03-20 13:06,WATER,VERTICAL INTEGRATED,2.305,,,,,,,,,,
2011PN200052,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 8 OF 10,AL07DD0004,57.12733333,-111.6010556,2012-03-20 13:20,WATER,VERTICAL INTEGRATED,2.355,,,,,,,,,,
2011PN200053,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 1 OF 10,AL07DD0005,57.15605556,-111.63,2012-03-21 10:02,WATER,VERTICAL INTEGRATED,1.07,,,,,,,,,,
2011PN200054,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 2 OF 10,AL07DD0005,57.15633333,-111.6294167,2012-03-21 10:16,WATER,VERTICAL INTEGRATED,1.39,,,,,,,,,,
2011PN200055,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 3 OF 10,AL07DD0005,57.15655556,-111.6286944,2012-03-21 10:30,WATER,VERTICAL INTEGRATED,1.97,,,,,,,,,,
2011PN200056,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 4 OF 10,AL07DD0005,57.15669444,-111.62825,2012-03-21 10:47,WATER,VERTICAL INTEGRATED,2.28,,,,,,,,,,
2011PN200057,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 6 OF 10,AL07DD0005,57.15683333,-111.6265278,2012-03-21 12:34,WATER,VERTICAL INTEGRATED,0.76,,,,,,,,,,
2011PN200058,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 7 OF 10,AL07DD0005,57.15686111,-111.6257222,2012-03-21 13:25,WATER,VERTICAL INTEGRATED,2.81,,,,,,,,,,
2011PN200059,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 8 OF 10,AL07DD0005,57.15705556,-111.6250278,2012-03-21 13:40,WATER,VERTICAL INTEGRATED,1.23,,,,,,,,,,
2011PN200060,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-03-20 12:35,WATER,VERTICAL INTEGRATED,1.805,,0.65,L,0.03,,,,,,
2011PN200061,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2012-03-20 14:43,WATER,TRIPLICATE SAMPLE,2.205,,0.61,L,0.03,,,,,,
2011PN200062,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2012-03-20 15:26,WATER,VERTICAL INTEGRATED,2.295,,0.65,L,0.03,,,,,,
2011PN200063,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-03-21 12:00,WATER,VERTICAL INTEGRATED,1.38,,0.6,L,0.03,,,,,,
2011PN200064,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2012-03-21 14:32,WATER,VERTICAL INTEGRATED,0.45,,0.56,L,0.03,,,,,,
2011PN200065,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-03-21 15:22,WATER,TRIPLICATE SAMPLE,4.15,,0.56,L,0.03,,,,,,
2011PN200066,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2012-03-20 15:03,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2011PN200067,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2012-03-20 14:48,WATER,TRIPLICATE SAMPLE,,,,,,,,,,,
2011PN200068,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2012-03-20 14:53,WATER,TRIPLICATE SAMPLE,,,,,,,,,,,
