"*Co-investigator /
Chercheur associé 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Co-investigator
Affiliation / 
Affiliation du chercheur associé
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Principal Investigator Contact Information / Coor-données de chercheur Principal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Steward(s) / Intendant(s) des données,Minzhen Su,Minzhen Su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Government Licence-Canada / Licence du gouver-nement ouvert – Canada ,http://open.canada.ca/en/open-government-licence-canada,http://ouvert.canada.ca/fr/licence-du-gouvernement-ouvert-canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Attribution / 
Attribution
","Environment and Climate Change Canada, [Year Accessed].  Data File Name [Name of data file]. Downloaded on [Year-Month-Day] from [Name and URL of the data portal].","Environnement et Changement climatique Canada, [année de la consultation]. Nom du fichier de données [Nom du fichier de données], générée [année-mois-jour]. Téléchargé le [année-mois-jour] depuis [Nom et URL du portail de données].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acknowledgement statement / Énoncé de reconnaissance ,"The author(s) acknowledge Environment and Climate Change Canada and [if applicable, enter the names of any co-contributors, co-funding agencies, and/or collaborators] for the provision of [type of] data accessed from [Name and URL of the data portal].  [If applicable:  The original data/data files were modified and redistributed and/or used to produce derivative work as follows: …enter details…].    ","Le ou les auteur(s) reconnaissent Environnement et Changement climatique Canada et [s’il y a lieu, entrez les noms des contributeurs, des organismes de cofinancement ou des collaborateurs] pour la prestation du [type de] données consultées depuis [Nom et URL du portail de données]. [S’il y a lieu : les données/fichiers de données d’origine ont été modifiés, redistribués et/ou utilisés pour des travaux dérivés, à savoir : …précisez…].    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quality Assurance Level and Disclaimer / 
Niveau d’assurance de la qualité et avis de non-responsa-bilité
","Level 1, defined as a complete data set of specified quality that consists of research products subjected to quality assurance and quality control checks and data management procedures.","Définition du niveau 1 : ensemble de données complet d’une qualité précisée, qui regroupe des produits de recherche soumis à des vérifications d’assurance et de contrôle de la qualité et à des procédures de gestion des données.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flag column pertain to the numerical value in the data column immediately to the right / Colonne du drapeau se rapportent à la valeur numérique dans les données de la colonne immédiatement à la droite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Sample Number / Numéro de l'échantillon sur le terrain,Project Name / Nom du projet,Station or Location Name / Nom du la station et lieu ,Station Number / Numéro de la station,Latitude (Decimal Degrees) / Latitude (degrés décimaux),Longitude (Decimal Degrees) / Longitude (degrés décimaux),Sample Date (yyyy-mm-dd hh:mm:ss ) / Date de l'échantillon(aaaa-mm-jj hh:mm:ss),Matrix /  Matrice,Sample Type / Type d'échantillon,Water Depth (m) / La profondeur de l’eau (m),Flag/Marqueur,AMMONIA UN-IONIZED (CALCD. 007570-L) (MG/L) / Azote ammoniacal non ionisé (calculé 007570-L) (MG/L),Flag/Marqueur,CARBON TOTAL ORGANIC (CALCD. 006002-L) (MG/L) / Carbone organique total (calculé 006002-L) (MG/L),Flag/Marqueur,NITROGEN TOTAL (CALCD. 007603-L) (MG/L) / Azote total (calculé 007603-L) (MG/L),Flag/Marqueur,PHOSPHOROUS PARTICULATE (CALCD. 015901-L) (MG/L) / Phosphore particulaire (calculé 015901-L) (MG/L) ,Flag/Marqueur,RESIDUE NONFILTRABLE (107251-L) (MG/L) / Résidus non-filtrables (107251-L) (MG/L),Flag/Marqueur,RESIDUE VOLATILE FILTERABLE (000953-l) (MG/L) / Résidu volatil filtrable (000953-L) (MG/L),Flag/Marqueur,NITROGEN TOTAL (108768-L) (MG/L) / Azote total (108768-L) (MG/L),Flag/Marqueur,AMMONIA DISSOLVED (007540-P) (MG/L) / Azote ammoniacal dissous  (007540-P) (MG/L) ,Flag/Marqueur,CARBON DISSOLVED ORGANIC (006104-L) (MG/L) / Carbone organique dissous (006104-L) (MG/L),Flag/Marqueur,CARBON PARTICULATE ORGANIC (006901-L) (MG/L) / Carbone organique particulaire  (006901-L) (MG/L),Flag/Marqueur,NITROGEN DISSOLVED NO3 & NO2 (007110-L) (MG/L) / Nitrites/nitrates dissous  (007110-L) (MG/L),Flag/Marqueur,NITROGEN PARTICULATE (007901-L) (MG/L) / Azote particulaire (007901-L) (MG/L) ,Flag/Marqueur,NITROGEN TOTAL DISSOLVED (106001-L) (MG/L) / Azote total dissous (106001-L) (MG/L),Flag/Marqueur,NITROGEN TOTAL DISSOLVED (108767-L) (MG/L) / Azote total dissous  (108767-L) (MG/L),Flag/Marqueur,PHOSPHOROUS TOTAL (015423-L) (MG/L) / Phosphore total (015423-L) (MG/L),Flag/Marqueur,PHOSPHOROUS TOTAL DISSOLVED (015465-L) (MG/L) / Phosphorus total dissous (015465-L) (MG/L),Flag/Marqueur,RESIDUE FIXED NONFILTRABLE (010501-L) (MG/L) / Résidus fixes non-filtrables (010501-L) (MG/L),Flag/Marqueur,RESIDUE NONFILTRABLE (010401-L) (MG/L) / Résidus non-filtrables (010401-L) (MG/L),Flag/Marqueur,CARBON PARTICULATE ORGANIC  (006902-L) (MG/L) / Carbone organique particulaire (006902-L) (MG/L) ,Flag/Marqueur,NITROGEN PARTICULATE (007902-L) (MG/L) / Azote particulaire (007902-L) (MG/L),Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur
2011PN200001,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2011-10-27 11:56,WATER,VERTICAL INTEGRATED,0.27,,0,,7.315,,0.379,,0.022,,,,,,,,0.006,,6.73,,0.585,,0.01,,0.093,,0.286,,,,0.032,,0.01,,3,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
