filename,work_item_id,due_date,responsible,accountable,consulted,informed,task,details
Develop compliance strategy.md,1050,2024-12-31,Shawn,Greg,Jeff,Board,Develop compliance strategy,"- Outline steps to meet regulatory requirements - Assign responsibilities for filing/monitoring - Integrate compliance into dev timeline"
Create organizational chart.md,1045,2024-12-16,Greg,Greg,"Shawn, Jeff",Board,Create organizational chart,"- Identify key leadership roles and reporting lines - Define departments and functional areas - Present org chart for team clarity"
Plan Version 2.0 improvements.md,1038,2025-02-28,Shawn,Greg,Jeff,Board,Plan Version 2.0 improvements,"- Gather pilot feedback for enhancements - Prioritize feature, cost, or performance improvements - Outline R&D roadmap for next-gen product"
Draft NDAs employee contracts service agreements.md,1044,2025-01-03,Greg,Greg,"Shawn, Jeff",Board,"Draft NDAs, employee contracts, service agreements","- Create standard legal templates for confidentiality and employment - Include IP protection clauses - Review with legal counsel before hiring"
Conduct environmental impact assessment.md,1056,2025-01-29,Shawn,Greg,Jeff,Board,Conduct environmental impact assessment,"- Evaluate product’s effect on ecosystems - Document findings and mitigation strategies - Adjust design to reduce environmental risk"
Identify target market (oil sands operators).md,1057,2025-01-15,Jeff,Greg,Shawn,Board,Identify target market (oil sands operators in Northern Alberta),"- Research major operators and compliance needs - Collect company profiles and contacts - Focus outreach strategy accordingly"
Define service product agreement (Liability terms).md,1005,2025-01-03,Greg,Greg,"Shawn, Jeff",Board,Define service/product agreement (Liability terms),"- Draft standard client service agreement - Address liability, warranty, and indemnification clauses - Align terms with pilot and future commercial deployment"
Draft job descriptions for key roles.md,1046,2024-12-20,Greg,Greg,"Shawn, Jeff",Board,Draft job descriptions for key roles,"- Detail responsibilities, qualifications, KPIs - Align each role with business goals - Use for hiring and performance management"
Create success metrics and evaluation criteria.md,1030,2025-02-28,Shawn,Greg,Jeff,Board,Create success metrics and evaluation criteria,"- Define measurable performance indicators - Establish thresholds for success/failure - Prepare final report format for pilot results"
Finalize technical requirements with pilot customer.md,1028,2025-02-14,Jeff,Greg,Shawn,Board,Finalize technical requirements with pilot customer,"- Confirm pilot objectives, conditions, KPIs - Update specs based on feedback - Document final requirements in signed agreement"
Develop detailed 12-month budget.md,1007,2024-12-16,Greg,Greg,"Shawn, Jeff",Board,Develop detailed 12-month budget,"- Estimate operational, R&D, personnel, and pilot costs - Include contingency funds - Finalize budget for stakeholder review"
Draft initial IP licensing framework.md,1004,2024-12-30,Shawn,Greg,Jeff,Board,Draft initial IP licensing framework,"- Outline terms for IP licensing between entities (if multiple) - Consider royalty rates, exclusivity, termination clauses - Consult with legal to ensure enforceability"
Set up business banking relationships.md,1015,2025-01-15,Shawn,Greg,Jeff,Board,Set up business banking relationships,"- Open business checking/savings accounts - Explore credit lines or loans - Ensure secure online banking"
Identify necessary permits for engineered bacteria.md,1049,2024-12-27,Shawn,Greg,Jeff,Board,Identify necessary permits for handling engineered bacteria,"- Research environmental/safety regulations - List required permits for production/transport - Note agency contacts and application steps"
Begin patent transfer process to company.md,1003,2024-12-23,Shawn,Greg,Jeff,Board,Begin patent transfer process to company,"- Initiate paperwork to transfer patent ownership - Coordinate with patent holder and legal counsel - Track progress and confirm filings"
Secure IP rights to the patent.md,1043,2024-12-30,Shawn,Greg,Jeff,Board,Secure IP rights to the patent,"- Finalize licensing/assignment with researcher - Confirm patent ownership transfer - Update IP portfolio documentation"
Identify needed modifications for pilot conditions.md,1013,2024-12-30,Shawn,Greg,Jeff,Board,Identify needed modifications for pilot conditions,"- Compare pilot site conditions with sensor specs - Propose design tweaks for optimal performance - Estimate cost/time for modifications"
Create scaled manufacturing plan.md,1036,2025-02-14,Greg,Greg,"Shawn, Jeff",Board,Create scaled manufacturing plan,"- Plan to ramp up production post-pilot - Identify capacity constraints and solutions - Budget for additional resources/personnel"
Develop initial marketing materials for Naphthenic Acid detection.md,1018,2025-02-05,Jeff,Greg,Shawn,Board,Develop initial marketing materials focusing on Naphthenic Acid detection,"- Create product one-pagers, brochures, flyers - Highlight unique environmental detection capabilities - Ensure consistent branding/messaging"
Issue press releases and conduct media outreach.md,1069,2025-02-28,Jeff,Greg,Shawn,Board,Issue press releases and conduct media outreach,"- Announce product readiness/pilot successes - Contact industry publications/news outlets - Track coverage and respond to inquiries"
Set up pilot programs with early adopters.md,1063,2025-02-14,Jeff,Greg,Shawn,Board,Set up pilot programs with early adopters,"- Identify initial testing partners - Deliver kits and instructions - Collect performance data and feedback"
Begin supplier qualification process.md,1021,2025-01-29,Shawn,Greg,Jeff,Board,Begin supplier qualification process,"- Evaluate supplier reliability, quality standards - Conduct sample testing or audits if needed - Shortlist approved suppliers for pilot"
Begin pilot project technical requirements analysis.md,1012,2024-12-23,Shawn,Greg,Jeff,Board,Begin pilot project technical requirements analysis,"- Outline technical needs for pilot environment - Define customizations or conditions needed - Document deliverables for pilot partner"
Identify lab location and finalize arrangements.md,1027,2025-02-05,Shawn,Greg,Jeff,Board,Identify lab location and finalize arrangements,"- Evaluate options (AU in Athabasca, Cochrane, Vogon Labs, Calgary) - Confirm equipment needs and rental terms - Secure chosen facility and draft agreements"
Set up customer support channels.md,1072,2025-02-28,Jeff,Greg,Shawn,Board,Set up customer support channels,"- Create dedicated support email/phone line - Train staff to handle inquiries/troubleshooting - Establish escalation procedures"
Form advisory board.md,1047,2025-01-03,Shawn,Greg,Jeff,Board,Form advisory board,"- Identify experts in biotech, environmental law, biz dev - Invite and secure commitments - Set meeting schedules and compensation terms"
Identify additional potential customers beyond pilot.md,1032,2025-02-14,Jeff,Greg,Shawn,Board,Identify additional potential customers beyond pilot,"- Research other oil sands operators and environmental agencies - Compile a list of top prospects - Prepare outreach strategy post-pilot"
Create detailed technical specifications document.md,1023,2025-01-15,Shawn,Greg,Jeff,Board,Create detailed technical specifications document,"- Consolidate all performance specs and standards - Serve as reference for engineering and QA teams - Implement version control"
Meet with lawyer to establish optimal corporate structure.md,1001,2024-12-16,Shawn,Greg,Jeff,Board,Meet with lawyer to establish optimal corporate structure,"- Assess pros/cons of single vs. multiple entities - Consider IP protection strategy - Discuss dilution and investor attractiveness"
Create prototypes and set up lab.md,1053,2025-01-22,Shawn,Greg,Jeff,Board,Create prototypes (detection kits) and set up lab,"- Secure lab space/equipment - Assemble initial batch of detection kits - Test and refine prototype design"
Finalize brand identity.md,1060,2025-01-15,Jeff,Greg,Shawn,Board,"Finalize brand identity (name, logo, guidelines)","- Confirm company name/trademarking - Design logo, define color palette - Document branding standards"
Establish quality control protocols.md,1054,2025-01-29,Shawn,Greg,Jeff,Board,"Establish quality control protocols (SOPs, testing)","- Define SOPs for kit prep and testing - Develop testing regimens for accuracy - Integrate QC into product iteration cycle"
Identify funding sources and prepare pitch deck.md,1052,2024-12-31,Jeff,Greg,Shawn,Board,Identify funding sources and prepare pitch deck,"- Research grants, angels, early-stage VCs - Summarize key points into investor-friendly slides - Ready deck for investor outreach"
Analyze competitive landscape.md,1058,2025-01-22,Jeff,Greg,Shawn,Board,Analyze competitive landscape,"- Identify existing Naphthenic Acid detection solutions - Note competitor pricing, technology, market share - Highlight our unique selling points"
Draft preliminary pricing model.md,1010,2024-12-31,Jeff,Greg,Shawn,Board,Draft preliminary pricing model,"- Set pilot pricing that covers costs and demonstrates value - Plan full-scale commercial pricing strategy - Consider competitor prices and market tolerance"
Develop post-pilot commercialization strategy.md,1037,2025-02-21,Jeff,Greg,Shawn,Board,Develop post-pilot commercialization strategy,"- Define go-to-market plans after pilot success - Identify distribution channels, marketing campaigns - Set sales targets and growth milestones"
Develop pricing model.md,1065,2025-02-14,Jeff,Greg,Shawn,Board,Develop pricing model,"- Calculate costs and desired margins - Compare competitor pricing and customer budgets - Set prices for commercial launch"
Scale-up production.md,1064,2025-02-28,Greg,Greg,"Shawn, Jeff",Board,Scale-up production for post-pilot demand,"- Increase production capacity based on pilot results - Secure more materials, hire additional staff if needed - Maintain QC standards at larger scale"
Draft initial manufacturing and assembly procedures.md,1022,2025-02-05,Greg,Greg,"Shawn, Jeff",Board,Draft initial manufacturing/assembly procedures,"- Outline production steps and required equipment - Document safety and QC steps - Prepare for pilot-scale production"
Create initial budget.md,1051,2024-12-16,Greg,Greg,"Shawn, Jeff",Board,Create initial budget,"- Estimate startup, legal, lab, marketing costs - Forecast monthly burn rate and reserves - Include pilot expenses and growth projections"
Create pitch deck for potential investors.md,1033,2025-02-21,Jeff,Greg,Shawn,Board,Create pitch deck for potential investors,"- Highlight product value, market size, and business model - Include pilot plan, financials, team overview - Ensure visuals are professional and concise"
Create quality assurance documentation.md,1026,2025-02-05,Shawn,Greg,Jeff,Board,Create quality assurance documentation,"- Develop QA checklists, audit forms - Define acceptable quality levels and corrective actions - Integrate QA into production workflow"
Develop risk mitigation strategies for pilot.md,1031,2025-03-07,Shawn,Greg,Jeff,Board,Develop risk mitigation strategies for pilot,"- Identify potential pilot risks (equipment failure, delays) - Plan backup suppliers, inventory, alternate sites - Document escalation procedures"
Create sales materials.md,1066,2025-02-21,Jeff,Greg,Shawn,Board,"Create sales materials (proposals, demos)","- Prepare custom proposals for target clients - Develop demo scripts/simulations - Align materials with brand and value proposition"
Create financial projections including pilot project costs.md,1008,2024-12-20,Jeff,Greg,Shawn,Board,Create financial projections including pilot project costs,"- Forecast revenue, expenses, and cash flow for pilot - Model best/worst case scenarios - Integrate into overall financial plan"
Draft pilot project contract framework.md,1017,2025-01-29,Jeff,Greg,Shawn,Board,Draft pilot project contract framework,"- Create a template contract for pilot partners - Include scope, deliverables, payment terms, IP terms - Review with legal for compliance"
Secure supply chain.md,1071,2025-02-21,Shawn,Greg,Jeff,Board,"Secure supply chain (suppliers, logistics)","- Finalize agreements with approved suppliers - Arrange reliable shipping solutions - Implement inventory management system"
Register the company.md,1041,2024-12-18,Shawn,Greg,Jeff,Board,Register the company,"- File incorporation documents - Obtain registration, tax ID, licenses - Confirm official business name approval"
Apply for required environmental and safety permits.md,1055,2025-01-15,Shawn,Greg,Jeff,Board,Apply for required environmental and safety permits,"- Submit applications identified earlier - Provide necessary documentation/data - Track approvals and follow-ups"
Develop SOPs for biosensor operation.md,1024,2025-01-22,Shawn,Greg,Jeff,Board,Develop SOPs for biosensor operation,"- Standardize startup, calibration, shutdown procedures - Include maintenance and troubleshooting steps - Ensure safety protocols for lab staff"
Ownership and equity agreements.md,1042,2024-12-23,Shawn,Greg,Jeff,Board,Ownership and equity agreements,"- Draft founders’ agreement (equity, vesting, exits) - Plan for future investor equity/dilution - Secure signatures from all co-founders"
