Groundwater Assessment Area Ells River 01,ER-10-xxx ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundwater Assessment Area Muskeg River 01,MR-11-xxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundwater Assessment Area Steepbank River 01,"SR-09-xxx, SR-10-xxx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-MS = Dissolved Mass Spectrometry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-OICP - Dissolved - Optical Inductively Coupled Plasma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFS = Synchronous Fluorescence Spectroscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Name,Publication_Station_ID,Short ite Name,Alternative_Station_ID,Latitude (North),Longitude (West),Master_Sample ID,Date Sampled,Sample Depth,Bromium (Br),Chloride (Cl),Fluoride (F),Nitrite (NO2),Nitrate (NO3),Phosphate (PO4),Sulphate (SO4),Alkalinity,Ammonium (NH4),Dissolved Oxygen (DO) -Field,Electrical Conductivity (EC) - Field,pH - Field,Temperature (Temp),Silver (Ag),Aluminum (Al),Arsenic (As),Boron (B),Barium (Ba),Beryllium (Be),Bismuth (Bi),Cadmium (Cd),Cobalt (Co),Chromium (Cr),Copper (Cu),Iron (Fe),Gallium (Ga),Lanthanum (La),Lithium,Manganese (Mn),Molybdenum (Mo),Nickel (Ni),Lead (Pb),Rubidum (Rd),Antimony (Sb),Selenium (Se),Strontium (Sr),Thallium (Tl),Uranium (U),Vanadium (V),Zinc (Zn),Calcium (Ca),Potassium (K),Magnesium (Mg),Sodium (Na),Sodium (Na) - Water,Sodium (Na) - Extract,Synchronous Fluorescence Spectroscopy - (SFS) 282 nm,Synchronous Fluorescence Spectroscopy - (SFS) 320 nm,Synchronous Fluorescence Spectroscopy - (SFS) 333 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master_Station_ID ,,Field_Station_ID ,,(Decimal Degrees),(Decimal Degrees),,(yyyy-mm-dd),(cm),mg/L ,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L CaCO3,mg/L,mg/L,uS/cm,pH Units,°C,ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),mg/L (D-OICP),mg/L (D-OICP),mg/L (D-OICP),mg/L (D-OICP),mg/L (AEF),mg/L (AEF),Intensity,Intensity,Intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-10-010,Drive-point 6,AR 10,,56.99803,-111.45710,20101212,2010-09-23,75,0.000,4.353,0.240,0.000,0.030,0.000,48.486,240,0.05,0.9,880,7.4,10,0,0,0.23,170,107,0,0,0.014,0.345,0,0.38,16.9,0,0,23.5,50.9,0.458,1.93,0,1.34,0.084,0.13,389,0.014,1.35,0,0,98.29,2.757,18.85,16.31,3,5,46.73,60.29,132.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-10-011,Drive-point 4,AR 11,,56.99889,-111.45800,20101213,2010-09-23,85,0.074,32.332,1.580,0.000,0.027,0.000,1.932,802,4.80,0.8,2570,7.4,11,0,0,26,1620,346,0.015,0,0.011,0.113,0.21,0.25,21500,0.042,0.019,155,530,1.38,0.53,0,3.49,0.023,0.21,502,0,0.0222,1.55,70.4,61.44,8.153,19.28,300.1,31,50,1086.50,1382.07,1546.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-10-014,Drive-point 10,AR-14,,57.02691,-111.49243,20101216,2010-09-24,47,0.000,6.494,0.170,0.000,0.037,0.000,10.178,289,1.03,0.85,950,7.15,8.7,0,0,1.63,90.6,150,0,0,0.01,1.07,0.13,0,21400,0.085,0.035,21.6,1380,0.728,3.38,0,1.24,0.057,0.1,434,0,0.142,0.176,4.5,103.9,1.091,20.94,0,7,,138.19,457.39,572.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-10-128,Drive-point 3,AR-128,,56.94790,-111.44900,20101253,2010-09-26,55,0.000,2.088,0.140,0.000,0.000,0.000,28.176,263,0.18,0.7,925,7.56,12.2,0,0,0.21,68.7,130,0,0,0.026,1.95,0,0.64,27.5,0.14,0,22.9,1290,1.98,4.69,0,2.74,0.111,0,460,0.011,0.976,0,14.6,102.1,2.534,17.99,1.825,2,,9.51,35.16,82.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-10-129,Drive-point 7,AR-129,,56.95664,-111.45778,20101254,2010-09-26,30,0.000,152.396,0.480,0.000,0.000,0.000,741.166,324,0.00,0.7,3530,7.27,13.9,0.011,0,0.17,577,53.4,0,0,0,0.46,0,1.92,52.6,0.029,0,143,55.6,0.134,8.11,0,6.07,0.046,0.2,998,0.026,2.19,0,78.4,260.2,10.11,108.4,181.9,26,,85.49,228.99,442.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-10-130,Drive-point 8,AR-130,,56.96155,-111.45808,20101255,2010-09-26,27,0.000,45.018,0.100,0.000,0.000,0.000,583.365,1124,16.20,0.4,4790,7.1,14.7,0.013,8.3,83.8,126,173,0.028,0.017,0.016,11.6,0.78,0.21,103000,0.222,0.057,53.8,2870,5.1,13.6,0,6.69,0.184,0.8,3020,0,3.08,4.11,76,459.1,9.694,146.6,52.61,20,,4.95,88.36,271.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-10-131,Drive-point 9,AR-131,,56.96503,-111.45741,20101256,2010-09-26,40,0.000,976.115,0.200,0.000,0.000,0.000,469.034,635,0.57,0.7,7100,6.9,13.1,0,0,2.13,1620,113,0,0,0.031,6.5,0.29,0.37,11800,0.147,0.096,389,1980,0.451,9.54,0.094,6.44,0.068,0.12,1440,0.029,2.07,0.198,77.1,238.8,7.805,81.32,712.9,33,,200.08,585.17,1119.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-10-132,Drive-point 1,AR-132,,56.96855,-111.45559,20101257,2010-09-26,50,0.000,1462.798,0.570,0.000,0.000,0.000,66.930,1594,0.84,0.45,13200,7.3,12.9,0.02,0,6.31,4040,528,0,0,0.086,4.32,0.16,0.35,13800,0.103,0.032,348,1330,2.59,5.91,0.068,2.35,0.144,0.45,1350,0.036,0.838,0.179,6.3,51.33,9.059,19.64,1577,28,48,1545.57,2305.65,2823.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-10-301,Drive-point 11,AR-301,,57.03854,-111.50073,20101258,2010-09-26,91,0.000,8.676,0.140,0.000,0.000,0.000,6.429,151,0.17,3.78,581,7.45,,0,0,3.31,66,54.9,0,0,0,0.222,0.1,0,1800,0.03,0.053,11.2,301,1.16,0.94,0.055,0.662,0.076,0,188,0,0.123,0.59,0,51.33,1.373,8.989,4.255,4,,75.00,299.80,383.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-10-302,Drive-point 12,AR-302,,57.03713,-111.50891,20101259,2010-09-26,77,0.000,3.715,0.260,0.000,0.000,0.000,2.003,258,3.00,0.96,970,7.31,,0,0,9.77,77.5,254,0.033,0,0,3.17,0.31,0,28900,0.173,0.177,18.7,2150,5.75,4,0,3.29,0.053,0.25,454,0,0.162,4.4,0,85.87,3.622,14.05,4.931,4,,20.44,69.23,146.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-10-001,Drive-point 13,EL-UR-1,,57.23025,-111.88919,20101260,2010-09-21,60,0.000,17.825,0.210,0.000,0.000,0.000,143.159,505,0.41,0,1600,6.8,6.1,0,0,1.16,384,108,0,0,0,0.217,0.11,0,5950,0.052,0.016,79.5,409,0.342,1.7,0,2.3,0.139,0,1590,0,0.433,0.082,69.7,106.1,4.386,59.37,118.9,4,,21.49,49.78,128.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-10-002,Drive-point 14,EL-UR-2,,57.23025,-111.88919,20101261,2010-09-21,64,0.000,17.513,0.210,0.000,0.000,0.000,43.147,573,0.03,0.14,1650,6.9,6.8,0,0,1.65,435,109,0,0,0,0.196,0,0,8290,0.036,0.028,94.7,277,0.305,1.27,0,1.38,0.073,0,778,0,0.811,0.082,4.5,88.69,3.179,49.94,135.3,5,,18.23,50.46,115.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-10-003,Drive-point 15,EL-UR-3,,57.23025,-111.88919,20101262,2010-09-21,68,0.000,77.289,0.120,0.000,0.000,0.000,1670.916,973,0.03,0.05,6430,6.5,8,0,0,0.3,695,49,0,0,0.017,3.09,0.12,0.32,1820,0.273,0.05,305,3420,0.092,8.33,0,7.54,0.08,0.16,2700,0.122,11.8,0,70.2,342.6,9.898,272.9,593.6,4,,6.66,53.86,186.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-10-005,Drive-point 16,EL-MR-2,,57.23923,-111.77032,20101264,2010-09-21,45,1.011,436.782,0.400,0.000,0.000,0.000,1.066,1056,1.44,0.1,5700,6.8,8.6,0.022,0,0.22,1340,2180,0.014,0,0.013,0.395,0.57,0,358,0.041,0.025,187,224,0.367,1.37,0,4.83,0.015,0,1740,0,0.0074,0.517,87.3,75.14,6.989,64.64,680.3,10,,245.48,549.10,642.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR-10-001,Drive-point 17,SB-UR-1,SB-10-001,56.86373,-111.12546,20101265,2010-09-19,63,0.000,0.783,0.120,0.000,0.000,0.000,14.877,275,0.17,0.92,771,7.24,7.5,0,38.9,1.47,126,162,0.018,0,0,0.334,0.59,0.9,9850,0.069,0.305,11.1,336,0.328,1.82,0.123,0.816,0.096,0.1,172,0,0.1,1.24,107,78.49,0.843,32.28,3.361,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR-10-002,Drive-point 18,SB-UR-2,SB-10-002,56.86368,-111.12600,20101266,2010-09-19,58,0.000,0.840,0.100,0.000,0.000,0.000,7.621,264,0.09,0.6,820,7.22,8.3,0,17,2.6,67.2,121,0.02,0,0,0.373,0.4,0,10500,0.062,0.233,11.4,302,0.251,1.82,0,1.14,0.067,0.13,158,0,0.159,0.993,7,82.91,0.782,33.57,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR-10-003,Drive-point 19,SB-UR-3,SB-10-003,56.86362,-111.12663,20101267,2010-09-19,39,0.000,0.335,0.120,0.000,0.000,0.000,4.796,165,0.07,0.82,487,7.47,7.5,0.011,34,2.09,77.7,143,0.032,0,0.015,0.485,0.44,0.88,6370,0.047,0.344,8.38,258,0.303,1.69,0.222,0.354,0.072,0.12,101,0,0.126,1.43,109,50.19,0,21.35,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
