Co-investigator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-investigator Affiliation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Steward(s),Greg Bickerton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Government Licence-Canada,http://open.canada.ca/en/open-government-licence-canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attribution,"Environment and Climate Change Canada, [Year Accessed].  Data File Name [Name of data file], generated [Year-Month-Day]. Accessed on [Year-Month-Day] from [Name and URL of the data portal].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acknowledgement,"The author(s) acknowledge Environment and Climate Change Canada and [if applicable, enter the names of any co-contributors, co-funding agencies, and/or collaborators] for the provision of [type of] data accessed from [Name and URL of the data portal].  [If applicable:  The original data/data files were modified and redistributed and/or used to produce derivative work as follows: …enter details…].    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Assurance Level and Disclaimer,"Level 1, defined as a complete data set of specified quality that consists of research products subjected to quality assurance and quality control checks and data management procedures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessment Area,Master Station ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundwater Asessment Area Athabasca River 01,"AR-09-xxx, AR-10-xxx, AR-11-xxx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundwater Assessment Area Ells River 01,ER-10-xxx ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundwater Assessment Area Muskeg River 01,MR-11-xxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundwater Assessment Area Steepbank River 01,"SR-09-xxx, SR-10-xxx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-MS = Dissolved Mass Spectrometry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-IC = Dissovled - Ion Chromatography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFS = Synchronous Fluorescence Spectroscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Name,,Latitude (North),Longitude (West),Position Note,Date Sampled,Sample Depth,Silver (Ag),Aluminum (Al),Arsenic (As),Boron (B),Barium (Ba),Beryllium (Be),Bismuth (Bi),Cadmium (Cd),Cobalt (Co),Chromium (Cr),Copper (Cu),Iron (Fe),Gallium (Ga),Lanthanum (La),Lithium,Manganese (Mn),Molybdenum (Mo),Nickel (Ni),Lead (Pb),Rubidum (Rd),Antimony (Sb),Selenium (Se),Strontium (Sr),Thallium (Tl),Uranium (U),Vanadium (V),Zinc (Zn),Alkalinity,Calcium (Ca),Magnesium (Mg),Sodium (Na),Potassium (K),,Bromium (Br),Chloride (Cl),Fluoride (F),Nitrite (NO2),Nitrate (NO3),Phosphate (PO4),Sulphate (SO4),Ammonium (NH4),Dissolved Oxygen (DO) -Field,Electrical Conductivity (EC) - Field,Oxidation Reduction Potential (ORP) - Field,pH - Field,Temperature - Field,Synchronous Fluorescence Spectroscopy - (SFS) 282 nm,Synchronous Fluorescence Spectroscopy - (SFS) 320 nm,Synchronous Fluorescence Spectroscopy - (SFS) 333 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master_Station_ID ,Master_Sample_ID,(Decimal Degrees),(Decimal Degrees),,(yyyy-mm-dd),(cm),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),ug/L (D-MS),mg/L CaCO3,mg/L,mg/L,mg/L,mg/L,,mg/L (D-IC),mg/L ,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,uS/cm,mV,pH Units,°C,Intensity,Intensity,Intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR-09-001,20090756,57.01980941,-111.4805319,,2009-08-20,48,0,12.5,5.63,350,228,0.026,0,0.03,0.23,0.251,0,25300,0.049,0.076,27.5,1890,0.742,0.72,0.427,2.69,0.116,0,399,0,0.046,1.19,7.23,356,88.17,29.54,30.61,2.617,,0,4.15,0.21,0.00,0.00,0.00,0.00,,0.28,648,-206.0,7.23,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR-09-002,20090757,57.020501,-111.481044,,2009-08-20,48,0,9.8,10.3,278,268,0.021,0,0.039,0.54,0.239,0,57600,0.057,0.136,27.8,2070,0.66,0.9,0,2.83,0.086,0,424,0,0.0884,1.69,4.44,462,206.4,29.27,16.28,2.835,,0,2.76,0.21,0.00,0.00,0.00,3.03,,0.27,773,-140.0,7.03,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR-09-003,20090758,57.02042959,-111.4807016,,2009-08-20,24,0,4.2,7.48,272,278,0.021,0,0.028,0.489,0.205,0,52600,0.048,0.085,36.3,1600,0.423,1.07,0,2,0.037,0,445,0,0.184,1.06,8.2,469,208.2,30.79,15.57,2.439,,0,2.93,0.21,0.00,0.00,0.00,15.69,,0.39,843,-147.0,6.98,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR-09-003,20090759,57.02042959,-111.4807016,,2009-08-20,58,0,4.2,5.6,247,285,0.017,0,0.023,0.107,0.151,0,50300,0.046,0.085,32.4,1490,0.245,0.48,0,1.81,0.039,0,444,0,0.105,0.889,9.47,493,107.9,31.13,17.65,2.481,,0,3.10,0.23,0.00,0.00,0.00,4.86,,0.18,790,-157.0,7.06,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR-09-003,20090760,57.02042959,-111.4807016,,2009-08-20,98,0,3.4,4.5,243,301,0.022,0,0.026,0.077,0.126,0,45500,0.052,0.03,29.1,1430,0.231,0.26,0,1.89,0.03,0,430,0,0.0868,0.739,7.83,446,201.6,29.12,18.01,2.231,,0,3.62,0.23,0.00,0.00,0.00,1.18,,0.71,743,-161.0,7.14,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR-09-004,20090761,57.02032762,-111.4807488,,2009-08-20,50,0,4.9,2.57,257,282,0.025,0,0.037,0.087,0.148,0.21,40700,0.04,0.039,28.6,1270,0.299,0.49,0,1.8,0.039,0,409,0,0.0686,0.702,64.7,420,190.4,26.74,19.14,2.355,,0,4.31,0.23,0.00,0.00,0.00,1.81,,0.15,711,-163.0,7.13,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR-09-005,20090762,57.02021385,-111.4806294,,2009-08-20,46,0,9.5,7.04,267,322,0.031,0,0.031,0.204,0.256,0,61300,0.064,0.092,39.9,2530,0.642,0.81,0,2.54,0.053,0,571,0,0.156,1.06,1.67,465,233.6,32.55,14.81,2.517,,0,3.49,0.23,0.00,0.02,0.00,85.20,,0.21,915,-154.0,7.01,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-09-001,20090763,56.99080335,-111.4459918,,2009-08-21,91,0,5,9.6,317,304,0.02,0,0.035,1.94,0.191,0,42800,0.1,0.137,48.1,4700,6.44,6.54,0,1.27,0.048,0,1390,0,3.53,0.729,71.8,743,278.4,56.61,41.84,5.939,,0.1011,11.95,1.41,0.00,0.00,0.00,3.71,,0.27,1125,-162.0,7.13,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-09-001,20090764,56.99080335,-111.4459918,,2009-08-21,133,0,4.8,6.27,247,301,0.023,0,0.047,0.149,0.224,0,41400,0.098,0.124,52.9,4330,4.89,0.63,0,1.17,0.039,0,1150,0,2.64,0.601,68.4,723,294.4,43.17,41.63,4.595,,0.0946,11.84,1.08,0.00,0.00,0.00,6.75,,0.21,1081,-142.0,7.15,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-09-002,20090765,56.99085683,-111.4458474,,2009-08-21,54,0,3.6,1.52,188,834,0,0,0.077,6.46,0.143,0.33,148,0.198,0.049,46.2,10100,1.77,9.93,0.135,8.53,0.124,0,1990,0.086,5.64,0.632,64.8,805,325.9,75.11,293.3,12.48,,0.2589,623.03,0.02,0.08,0.00,0.00,18.28,,0.29,2659,-20.0,7.28,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-09-002,20090766,56.99085683,-111.4458474,,2009-08-21,62,0,5.5,3.37,158,1190,0.015,0,0.044,14.3,0.157,0,3940,0.342,0.075,52.3,18200,2.67,13.3,0.101,7.34,0.129,0,2240,0.089,3.26,1.29,10.8,812,371.1,78.22,284.6,13.28,,0.2998,745.57,0.05,0.09,0.00,0.00,11.29,,0.22,2823,-110.0,7.25,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-09-003,20090767,56.99094311,-111.445615,,2009-08-21,59,0,4.1,4.2,141,737,0.011,0,0.037,6.91,0.168,0.35,5150,0.22,0.065,21,11400,2.35,9.91,0.107,6.31,0.108,0,1920,0.045,3.68,1.02,69.3,520,294.6,76.58,87.85,7.338,,0.2321,487.39,0.05,0.06,0.00,0.00,18.07,,0.2,2259,-123.6,7.11,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-09-004,20090768,56.99156609,-111.4464591,,2009-08-21,45,0,0,1.3,191,535,0.011,0,0.047,5.63,0.157,0.36,76.5,0.136,0.033,53,6710,0.879,10.3,0.09,8.72,0.104,0,1720,0.099,4.39,0.366,65.4,632,294.4,53.81,404.8,11.53,,0.2691,740.79,0.02,0.10,0.00,0.00,151.78,,0.33,2879,-5.5,7.09,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-09-005,20090769,56.99200544,-111.4470347,,2009-08-21,68,0,5.9,0.97,138,117,0,0,0.038,0.602,0.074,0.54,13.2,0.021,0.015,7.5,557,2.13,3.65,0,1.14,0.147,0,353,0.011,0.667,0.184,67,142,80.69,17.94,9.111,1.637,,0,1.39,0.10,0.00,0.00,0.00,31.16,,0.34,304,-34.0,7.74,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-09-006,20090770,56.99267189,-111.4485406,,2009-08-21,108,0.022,12.3,74.3,173,747,0.045,0,0.055,1.38,0.87,0.26,108000,0.174,0.12,36.9,8120,9.47,3.18,0,5.49,0.342,1.08,2640,0,0.61,7.71,69.6,1312,371.2,91.54,56.77,8.466,,0.1464,8.66,0.05,n.a.,0.00,0.00,60.88,,0.18,1985,-172.0,7.08,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-09-007,20090771,56.99179149,-111.443496,,2009-08-21,70,0,6.1,2,145,274,0.014,0,0.04,2.4,0.163,0.29,396,0.089,0.033,13,4110,1.45,4.47,0,3.03,0.06,0,767,0.018,1.86,0.839,65.6,350,172.8,39.29,34.84,3.011,,0,8.32,0.06,0.00,0.00,0.00,98.70,,0.35,794,-2.0,7.39,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-09-009,20090772,56.99470099,-111.4520231,,2009-08-22,72,0,9.4,3.34,1230,67.5,0.027,0,0.029,7.94,0.23,0.62,5560,0.087,0.034,142,547,0.989,23.9,0,13.2,0.066,0,1580,0.027,2.47,0.232,137,653,262.4,127.8,196.3,19.82,,0,13.82,0.25,0.00,0.00,0.00,893.48,,0.38,2001,83.0,6.88,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-09-010,20090773,56.99669354,-111.4553801,,2009-08-22,82,0,5.9,11.4,1020,378,0.023,0,0.048,5.63,0.126,0.35,10400,0.052,0.05,79.1,1640,3.95,7.09,0,2.57,0.063,0,931,0.014,3.12,0.305,64.8,610,232.3,33.45,192.1,7.343,,0,51.55,1.07,0.00,0.00,0.00,226.53,,0.3,1399,-119.0,7.08,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
